data,casos,vr,mf,par,trans,trab,res
2020-06-17,683,-44,-3,-57,-43,-31,16
2020-06-18,808,-46,-5,-52,-44,-30,16
2020-06-19,775,-41,1,-52,-40,-26,16
2020-06-20,713,-46,-1,-52,-36,-11,11
2020-06-21,364,-54,-10,-54,-42,-7,11
2020-06-22,589,-44,-6,-53,-42,-27,15
2020-06-23,538,-45,-9,-51,-43,-31,16
2020-06-24,479,-45,-4,-53,-43,-30,15
2020-06-25,410,-45,-4,-49,-43,-28,16
2020-06-26,466,-41,1,-52,-38,-25,16
2020-06-27,167,-48,-2,-61,-38,-13,12
2020-06-28,231,-57,-10,-68,-48,-9,12
2020-06-29,464,-44,-6,-61,-42,-26,15
2020-06-30,336,-41,0,-52,-40,-28,15
